"gene_id" "chromosome" "geneStart"
"57" "ENSG00000004777.14" "chr19" 36265434
"58" "ENSG00000004779.5" "chr16" 23592323
"59" "ENSG00000004799.7" "chr7" 95212811
"60" "ENSG00000004809.9" "chr6" 110745890
"61" "ENSG00000004838.9" "chr3" 50378541
"62" "ENSG00000004846.12" "chr7" 20654830
"63" "ENSG00000004848.6" "chrX" 25021811
"64" "ENSG00000004864.9" "chr7" 95749532
"65" "ENSG00000004866.14" "chr7" 116593292
"66" "ENSG00000004897.7" "chr17" 45195069
"67" "ENSG00000004939.9" "chr17" 42325753
"68" "ENSG00000004948.9" "chr7" 93053799
"69" "ENSG00000004961.10" "chrX" 11129421
"70" "ENSG00000004975.7" "chr17" 7128660
"71" "ENSG00000005001.5" "chr16" 2902728
"72" "ENSG00000005007.8" "chr19" 18942747
"73" "ENSG00000005020.8" "chr7" 26706681
"74" "ENSG00000005022.5" "chrX" 118602363
"75" "ENSG00000005059.11" "chr4" 110481361
"76" "ENSG00000005073.5" "chr7" 27221129
"77" "ENSG00000005075.11" "chr7" 102113565
"78" "ENSG00000005100.8" "chr17" 5344232
"79" "ENSG00000005102.8" "chr17" 41717756
"80" "ENSG00000005108.11" "chr7" 11409984
"81" "ENSG00000005156.7" "chr17" 33307513
"82" "ENSG00000005175.5" "chr12" 48057070
"83" "ENSG00000005187.7" "chr16" 20621565
"84" "ENSG00000005189.15" "chr16" 20817751
"85" "ENSG00000005194.10" "chr16" 57462081
"86" "ENSG00000005238.15" "chr9" 35104109
"87" "ENSG00000005243.5" "chr17" 46103533
"88" "ENSG00000005249.8" "chr7" 106685094
"89" "ENSG00000005302.13" "chrX" 11776278
"90" "ENSG00000005339.8" "chr16" 3775055
"91" "ENSG00000005379.11" "chr17" 56378592
"92" "ENSG00000005381.6" "chr17" 56347217
"93" "ENSG00000005421.4" "chr7" 94926988
"94" "ENSG00000005436.9" "chr2" 75879126
"95" "ENSG00000005448.12" "chr2" 74648805
"96" "ENSG00000005469.7" "chr7" 86974997
"97" "ENSG00000005471.11" "chr7" 87031013
"98" "ENSG00000005483.15" "chr7" 104654626
"99" "ENSG00000005486.12" "chr7" 75471920
"100" "ENSG00000005513.9" "chr16" 1031808
"101" "ENSG00000005700.10" "chr6" 82879700
"102" "ENSG00000005801.12" "chr11" 3360491
"103" "ENSG00000005810.13" "chr13" 77618792
"104" "ENSG00000005812.6" "chr13" 77566740
"105" "ENSG00000005844.13" "chr16" 30483979
"106" "ENSG00000005882.7" "chr17" 48172101
"107" "ENSG00000005884.13" "chr17" 48133332
"108" "ENSG00000005889.11" "chrX" 24167290
"109" "ENSG00000005893.11" "chrX" 119561682
"110" "ENSG00000005955.8" "chr17" 34900737
"111" "ENSG00000005961.13" "chr17" 42449548
"112" "ENSG00000005981.8" "chr7" 95107756
"113" "ENSG00000006007.7" "chr16" 19513015
"114" "ENSG00000006015.13" "chr19" 18699495
"115" "ENSG00000006016.6" "chr19" 18683030
"116" "ENSG00000006025.7" "chr17" 45884738
"117" "ENSG00000006042.7" "chr17" 31254928
"118" "ENSG00000006047.8" "chr17" 7191571
"119" "ENSG00000006059.3" "chr17" 39502344
"120" "ENSG00000006071.7" "chr11" 17414432
"121" "ENSG00000006074.4" "chr17" 34391640
"122" "ENSG00000006075.11" "chr17" 34415602
"123" "ENSG00000006114.11" "chr17" 35874900
"124" "ENSG00000006116.3" "chr16" 24266874
"125" "ENSG00000006118.10" "chr11" 60691935
"126" "ENSG00000006125.12" "chr17" 33905065
"127" "ENSG00000006128.7" "chr7" 97361220
"128" "ENSG00000006194.6" "chr16" 3313743
"129" "ENSG00000006210.6" "chr16" 57406370
"130" "ENSG00000006282.15" "chr17" 48620419
"131" "ENSG00000006283.13" "chr17" 48638429
"132" "ENSG00000006327.9" "chr16" 3068446
"133" "ENSG00000006377.9" "chr7" 96634860
"134" "ENSG00000006432.11" "chr14" 71189243
"135" "ENSG00000006451.3" "chr7" 39663082
"136" "ENSG00000006453.9" "chr7" 97920963
"137" "ENSG00000006459.6" "chr7" 139784546
"138" "ENSG00000006468.9" "chr7" 13930853
"139" "ENSG00000006530.11" "chr7" 141250989
"140" "ENSG00000006534.11" "chr11" 67776048
"141" "ENSG00000006555.6" "chr1" 55245385
"142" "ENSG00000006576.12" "chr7" 77428122
"143" "ENSG00000006606.4" "chr7" 75398851
"144" "ENSG00000006607.9" "chr2" 242295658
"145" "ENSG00000006611.11" "chr11" 17515442
"146" "ENSG00000006625.13" "chr7" 30536237
"147" "ENSG00000006634.3" "chr7" 87505531
"148" "ENSG00000006638.7" "chr19" 3594504
"149" "ENSG00000006652.9" "chr7" 112063023
"150" "ENSG00000006659.8" "chr19" 40194946
"151" "ENSG00000006695.6" "chr17" 13972813
"152" "ENSG00000006704.6" "chr7" 73868120
"153" "ENSG00000006712.10" "chr19" 39876492
"154" "ENSG00000006715.11" "chr7" 38762563
"155" "ENSG00000006740.12" "chr17" 12692856
"156" "ENSG00000006744.14" "chr17" 12895708
"157" "ENSG00000006747.10" "chr7" 12610203
"158" "ENSG00000006756.11" "chrX" 2822011
"159" "ENSG00000006757.7" "chrX" 7866288
"160" "ENSG00000006788.8" "chr17" 10201401
"161" "ENSG00000006831.9" "chr12" 1797740
"162" "ENSG00000006837.7" "chr5" 133541305
"163" "ENSG00000007001.8" "chr2" 158733214
"164" "ENSG00000007038.6" "chr16" 2867164
"165" "ENSG00000007047.10" "chr19" 45582546
"166" "ENSG00000007062.7" "chr4" 15964699
"167" "ENSG00000007080.6" "chr19" 18043825
"168" "ENSG00000007129.13" "chr19" 42055886
"169" "ENSG00000007168.8" "chr17" 2496504
"170" "ENSG00000007171.12" "chr17" 26083792
"171" "ENSG00000007174.13" "chr17" 11501748
"172" "ENSG00000007202.10" "chr17" 26941458
"173" "ENSG00000007216.10" "chr17" 26800311
"174" "ENSG00000007237.14" "chr17" 9813926
"175" "ENSG00000007255.6" "chr19" 45666186
"176" "ENSG00000007264.9" "chr19" 3777971
"177" "ENSG00000007306.10" "chr19" 42177235
"178" "ENSG00000007312.8" "chr17" 62006100
"179" "ENSG00000007314.7" "chr17" 62015914
"180" "ENSG00000007341.14" "chr1" 113066140
"181" "ENSG00000007350.12" "chrX" 153524024
"182" "ENSG00000007372.16" "chr11" 31806340
"183" "ENSG00000007402.7" "chr3" 50400233
"184" "ENSG00000007516.9" "chr16" 1383602
"185" "ENSG00000007520.3" "chr16" 1399241
"186" "ENSG00000007545.11" "chr16" 1662326
"187" "ENSG00000007866.14" "chr6" 35441374
"188" "ENSG00000007908.11" "chr1" 169691781
"189" "ENSG00000007923.11" "chr1" 6694228
"190" "ENSG00000007933.8" "chr1" 171060018
"191" "ENSG00000007944.10" "chr6" 16129356
"192" "ENSG00000007952.13" "chrX" 100098313
"193" "ENSG00000007968.6" "chr1" 23832922
"194" "ENSG00000008018.8" "chr6" 170844205
"195" "ENSG00000008056.8" "chrX" 47431303
"196" "ENSG00000008083.9" "chr6" 15246527
"197" "ENSG00000008086.6" "chrX" 18443703
"198" "ENSG00000008118.5" "chr1" 209757062
"199" "ENSG00000008128.18" "chr1" 1634169
"200" "ENSG00000008130.11" "chr1" 1682671
"201" "ENSG00000008196.8" "chr6" 50786436
"202" "ENSG00000008197.4" "chr6" 50681541
"203" "ENSG00000008226.15" "chr3" 38080696
"204" "ENSG00000008256.11" "chr7" 6201407
"205" "ENSG00000008277.10" "chr7" 87563458
"206" "ENSG00000008282.3" "chr7" 105730949
"207" "ENSG00000008283.11" "chr17" 61509665
"208" "ENSG00000008294.16" "chr17" 49039535
"209" "ENSG00000008300.10" "chr3" 48673902
"210" "ENSG00000008311.10" "chr7" 121715701
"211" "ENSG00000008323.11" "chr12" 6419602
"212" "ENSG00000008324.6" "chr3" 42623332
"213" "ENSG00000008382.11" "chr19" 4343524
"214" "ENSG00000008394.8" "chr12" 16500076
"215" "ENSG00000008405.7" "chr12" 107385142
"216" "ENSG00000008438.4" "chr19" 46522411
"217" "ENSG00000008441.12" "chr19" 13106422
"218" "ENSG00000008513.10" "chr8" 134467091
"219" "ENSG00000008516.12" "chr16" 3096682
"220" "ENSG00000008517.12" "chr16" 3115298
"221" "ENSG00000008710.13" "chr16" 2138711
"222" "ENSG00000008735.10" "chr22" 51039114
"223" "ENSG00000008838.13" "chr17" 38175350
"224" "ENSG00000008853.12" "chr8" 22844930
"225" "ENSG00000008869.7" "chr2" 37195526
"226" "ENSG00000008952.12" "chr3" 169684423
"227" "ENSG00000008988.5" "chr8" 56979854
"228" "ENSG00000009307.11" "chr1" 115259534
"229" "ENSG00000009335.13" "chr7" 156931607
"230" "ENSG00000009413.11" "chr6" 111620234
"231" "ENSG00000009694.9" "chrX" 123509753
"232" "ENSG00000009709.7" "chr1" 18957500
"233" "ENSG00000009724.12" "chr1" 11086580
"234" "ENSG00000009765.10" "chr6" 150690028
"235" "ENSG00000009780.11" "chr1" 28052490
"236" "ENSG00000009790.10" "chr1" 209929377
"237" "ENSG00000009830.7" "chr14" 77741299
"238" "ENSG00000009844.11" "chr6" 142468367
"239" "ENSG00000009950.11" "chr7" 73007524
"240" "ENSG00000009954.6" "chr7" 72854728
"241" "ENSG00000010017.9" "chr6" 13621730
"242" "ENSG00000010030.9" "chr6" 36322419
"243" "ENSG00000010072.11" "chr1" 231472850
"244" "ENSG00000010165.15" "chr1" 171750788
"245" "ENSG00000010219.9" "chr12" 4671370
"246" "ENSG00000010244.12" "chr17" 30677136
"247" "ENSG00000010256.6" "chr3" 48636435
"248" "ENSG00000010270.9" "chr7" 38217824
"249" "ENSG00000010278.7" "chr12" 6308881
"250" "ENSG00000010282.10" "chr3" 42734155
"251" "ENSG00000010292.8" "chr12" 6602522
"252" "ENSG00000010295.15" "chr12" 6647541
"253" "ENSG00000010310.4" "chr19" 46171502
"254" "ENSG00000010318.15" "chr3" 52444673
"255" "ENSG00000010319.2" "chr3" 52467069
"256" "ENSG00000010322.11" "chr3" 52489134
"257" "ENSG00000010327.6" "chr3" 52529354
"258" "ENSG00000010361.9" "chr19" 50310126
"259" "ENSG00000010404.13" "chrX" 148558521
"260" "ENSG00000010438.12" "chr9" 33750515
"261" "ENSG00000010539.7" "chr16" 3272325
"262" "ENSG00000010610.5" "chr12" 6896024
"263" "ENSG00000010626.10" "chr12" 6982733
"264" "ENSG00000010671.11" "chrX" 100604435
"265" "ENSG00000010704.14" "chr6" 26087509
"266" "ENSG00000010803.12" "chr1" 41492872
"267" "ENSG00000010810.13" "chr6" 111981535
"268" "ENSG00000010818.4" "chr6" 143072604
"269" "ENSG00000010932.11" "chr1" 171217638
"270" "ENSG00000011007.8" "chr1" 24069645
"271" "ENSG00000011009.6" "chr1" 24117460
"272" "ENSG00000011021.17" "chr1" 11866207
"273" "ENSG00000011028.9" "chr17" 60704762
"274" "ENSG00000011052.17" "chr17" 49230951
"275" "ENSG00000011083.4" "chr5" 149569520
"276" "ENSG00000011105.7" "chr12" 3186521
"277" "ENSG00000011114.10" "chr14" 93703896
"278" "ENSG00000011132.7" "chr19" 3750817
"279" "ENSG00000011143.12" "chr17" 56282803
"280" "ENSG00000011198.3" "chr3" 43731605
"281" "ENSG00000011201.6" "chrX" 8496915
"282" "ENSG00000011243.13" "chr19" 15490859
"283" "ENSG00000011258.11" "chr17" 49254786
"284" "ENSG00000011260.9" "chr17" 49337889
"285" "ENSG00000011275.14" "chr7" 5659678
"286" "ENSG00000011295.11" "chr17" 15902694
"287" "ENSG00000011332.15" "chr19" 38701646
"288" "ENSG00000011347.5" "chr11" 61282785
"289" "ENSG00000011376.5" "chr3" 45429998
"290" "ENSG00000011405.9" "chr11" 17099277
"291" "ENSG00000011422.7" "chr19" 44150247
"292" "ENSG00000011426.6" "chr7" 36429415
"293" "ENSG00000011451.13" "chr19" 15532319
"294" "ENSG00000011454.12" "chr9" 125703112
"295" "ENSG00000011465.12" "chr12" 91539025
"296" "ENSG00000011478.7" "chr19" 46195741
"297" "ENSG00000011485.10" "chr19" 46850251
"298" "ENSG00000011523.9" "chr2" 65283500
"299" "ENSG00000011566.10" "chr2" 39476407
"300" "ENSG00000011590.9" "chr19" 36195429
"301" "ENSG00000011600.7" "chr19" 36395303
"302" "ENSG00000011638.6" "chr16" 21169698
"303" "ENSG00000011677.8" "chrX" 151334706
"304" "ENSG00000012048.15" "chr17" 41196312
"305" "ENSG00000012061.11" "chr19" 45910591
"306" "ENSG00000012124.10" "chr19" 35810164
"307" "ENSG00000012174.7" "chrX" 21857754
"308" "ENSG00000012211.8" "chrX" 49031151
"309" "ENSG00000012223.8" "chr3" 46477136
"310" "ENSG00000012232.4" "chr8" 28457986
"311" "ENSG00000012504.9" "chr12" 100867486
"312" "ENSG00000012660.9" "chr6" 53132196
"313" "ENSG00000012779.6" "chr10" 45869661
"314" "ENSG00000012817.11" "chrY" 21865751
"315" "ENSG00000012822.11" "chr12" 54104903
"316" "ENSG00000012963.9" "chr14" 93673401
"317" "ENSG00000012983.7" "chr14" 50885219
"318" "ENSG00000013016.10" "chr2" 31456880
"319" "ENSG00000013275.3" "chr19" 40476912
"320" "ENSG00000013288.4" "chr4" 6576902
"321" "ENSG00000013293.5" "chr3" 170177372
"322" "ENSG00000013297.6" "chr3" 170136653
"323" "ENSG00000013306.11" "chr17" 42396993
"324" "ENSG00000013364.14" "chr16" 29831715
"325" "ENSG00000013374.11" "chr7" 151038785
"326" "ENSG00000013375.11" "chr6" 83870869
"327" "ENSG00000013392.6" "chr6" 83903098
"328" "ENSG00000013441.11" "chr2" 201717732
"329" "ENSG00000013503.5" "chr12" 106751436
"330" "ENSG00000013523.5" "chr14" 77253588
"331" "ENSG00000013561.13" "chr5" 141337893
"332" "ENSG00000013563.9" "chrX" 153629579
"333" "ENSG00000013573.12" "chr12" 31226779
"334" "ENSG00000013583.4" "chr12" 13127798
"335" "ENSG00000013588.5" "chr12" 13043716
"336" "ENSG00000013619.9" "chrX" 149529689
"337" "ENSG00000013725.10" "chr11" 60739115
"338" "ENSG00000013810.14" "chr4" 1723227
"339" "ENSG00000014123.9" "chr6" 96969471
"340" "ENSG00000014138.4" "chr11" 65029233
"341" "ENSG00000014164.6" "chr8" 144519825
"342" "ENSG00000014216.11" "chr11" 64948037
"343" "ENSG00000014257.11" "chr3" 132036211
"344" "ENSG00000014641.13" "chr2" 63815743
"345" "ENSG00000014824.9" "chr4" 41992489
"346" "ENSG00000014914.15" "chr1" 149900543
"347" "ENSG00000014919.8" "chr10" 101471601
"348" "ENSG00000015133.14" "chr14" 91737667
"349" "ENSG00000015153.10" "chr12" 42550906
"350" "ENSG00000015285.6" "chrX" 48534985
"351" "ENSG00000015413.5" "chr16" 89679716
"352" "ENSG00000015475.14" "chr22" 18216906
"353" "ENSG00000015479.13" "chr5" 138609441
"354" "ENSG00000015520.10" "chr7" 44552134
"355" "ENSG00000015532.5" "chr17" 48423453
"356" "ENSG00000015592.12" "chr8" 27092840
"357" "ENSG00000015676.13" "chr7" 44418720
"358" "ENSG00000016082.10" "chr5" 50678921
"359" "ENSG00000016391.6" "chr3" 53846362
"360" "ENSG00000016402.8" "chr6" 137321108
"361" "ENSG00000016490.11" "chr1" 86934051
"362" "ENSG00000016602.8" "chr1" 87012761
"363" "ENSG00000016864.12" "chr3" 52728505
"364" "ENSG00000017260.15" "chr3" 130569439
"365" "ENSG00000017373.11" "chr17" 36686251
"366" "ENSG00000017427.11" "chr12" 102789645
"367" "ENSG00000017483.10" "chrX" 48316920
"368" "ENSG00000017621.11" "chrX" 49019061
"369" "ENSG00000017797.7" "chr18" 9475007
"370" "ENSG00000018189.8" "chr4" 71569921
"371" "ENSG00000018236.10" "chr12" 41086244
"372" "ENSG00000018280.12" "chr2" 219246752
"373" "ENSG00000018408.10" "chr3" 149235022
"374" "ENSG00000018510.8" "chr2" 178257372
"375" "ENSG00000018610.9" "chrX" 118672112
"376" "ENSG00000018625.10" "chr1" 160085549
"377" "ENSG00000018699.7" "chr2" 32853099
"378" "ENSG00000018869.12" "chr19" 56887413
"379" "ENSG00000019102.7" "chr11" 124617368
"380" "ENSG00000019144.12" "chr11" 118477155
"381" "ENSG00000019169.9" "chr2" 119699742
"382" "ENSG00000019186.5" "chr20" 52769988
"383" "ENSG00000019485.8" "chr11" 45115564
"384" "ENSG00000019505.3" "chr11" 45261852
"385" "ENSG00000019549.4" "chr8" 49830249
"386" "ENSG00000019582.10" "chr5" 149781200
"387" "ENSG00000019991.11" "chr7" 81328322
"388" "ENSG00000019995.6" "chr10" 126630692
"389" "ENSG00000020129.11" "chr1" 36023074
"390" "ENSG00000020181.13" "chr8" 37641709
"391" "ENSG00000020256.15" "chr20" 50668202
"392" "ENSG00000020426.6" "chr14" 61201460
"393" "ENSG00000020577.9" "chr14" 55033815
"394" "ENSG00000020633.14" "chr1" 25226002
"395" "ENSG00000020922.8" "chr11" 94152895
"396" "ENSG00000021300.9" "chr11" 73357223
"397" "ENSG00000021355.8" "chr6" 2832566
"398" "ENSG00000021461.12" "chr7" 99425636
"399" "ENSG00000021488.8" "chr19" 33321415
"400" "ENSG00000021574.7" "chr2" 32288680
"401" "ENSG00000021645.13" "chr14" 78708734
"402" "ENSG00000021762.15" "chr11" 3108346
"403" "ENSG00000021776.6" "chr15" 35147732
"404" "ENSG00000021826.10" "chr2" 211342406
"405" "ENSG00000021852.8" "chr1" 57394883
"406" "ENSG00000022267.12" "chrX" 135229559
"407" "ENSG00000022277.8" "chr20" 55043647
"408" "ENSG00000022355.10" "chr5" 161274197
"409" "ENSG00000022556.11" "chr19" 55464498
"410" "ENSG00000022567.5" "chr8" 142217265
"411" "ENSG00000022840.11" "chr12" 120971283
"412" "ENSG00000022976.11" "chr14" 102783714
"413" "ENSG00000023041.7" "chr10" 114190058
"414" "ENSG00000023171.10" "chr11" 123396344
"415" "ENSG00000023228.9" "chr2" 206979541
"416" "ENSG00000023287.8" "chr8" 53535016
"417" "ENSG00000023318.7" "chr9" 102741461
"418" "ENSG00000023330.10" "chr3" 52232102
"419" "ENSG00000023445.9" "chr11" 102188215
"420" "ENSG00000023516.7" "chr13" 42846289
"421" "ENSG00000023572.4" "chr1" 193065598
"422" "ENSG00000023608.4" "chr14" 62229075
"423" "ENSG00000023697.8" "chr12" 16064106
"424" "ENSG00000023734.6" "chr12" 16035325
"425" "ENSG00000023839.6" "chr10" 101542489
"426" "ENSG00000023892.9" "chr6" 35265595
"427" "ENSG00000023902.9" "chr1" 150121373
"428" "ENSG00000023909.5" "chr1" 94350761
"429" "ENSG00000024048.6" "chr6" 42531800
"430" "ENSG00000024422.7" "chr19" 48216600
"431" "ENSG00000024526.12" "chr1" 68939835
"432" "ENSG00000024862.12" "chr6" 139094657
"433" "ENSG00000025039.10" "chr6" 90074355
"434" "ENSG00000025156.8" "chr6" 122720691
"435" "ENSG00000025293.11" "chr20" 34359896
"436" "ENSG00000025423.7" "chr12" 57145945
"437" "ENSG00000025434.14" "chr11" 47269851
"438" "ENSG00000025708.8" "chr22" 50964181
"439" "ENSG00000025770.14" "chr22" 50946645
"440" "ENSG00000025772.7" "chr20" 43570771
"441" "ENSG00000025796.9" "chr6" 108188960
"442" "ENSG00000025800.9" "chr1" 32573639
"443" "ENSG00000026025.9" "chr10" 17270258
"444" "ENSG00000026036.16" "chr20" 62290653
"445" "ENSG00000026103.15" "chr10" 90750414
"446" "ENSG00000026297.11" "chr6" 167342992
"447" "ENSG00000026508.12" "chr11" 35160417
"448" "ENSG00000026559.9" "chr20" 49620193
"449" "ENSG00000026652.9" "chr6" 161551011
"450" "ENSG00000026751.12" "chr1" 160709037
"451" "ENSG00000026950.12" "chr6" 26402465
"452" "ENSG00000027001.7" "chr13" 24304328
"453" "ENSG00000027075.9" "chr14" 61654277
"454" "ENSG00000027644.4" "chr1" 156809855
"455" "ENSG00000027697.8" "chr6" 137518621
"456" "ENSG00000027847.9" "chr5" 177027101
"457" "ENSG00000027869.7" "chr1" 156776035
"458" "ENSG00000028116.12" "chr2" 58134786
"459" "ENSG00000028137.12" "chr1" 12227060
"460" "ENSG00000028203.13" "chr12" 95611522
"461" "ENSG00000028277.16" "chr19" 42590263
"462" "ENSG00000028528.10" "chr15" 64386322
"463" "ENSG00000028839.5" "chr6" 134273308
"464" "ENSG00000029153.10" "chr12" 27485787
"465" "ENSG00000029363.11" "chr6" 136578001
"466" "ENSG00000029364.7" "chr14" 69864732
"467" "ENSG00000029534.15" "chr8" 41510739
"468" "ENSG00000029559.5" "chr4" 88720733
"469" "ENSG00000029639.6" "chr6" 155578643
"470" "ENSG00000029725.12" "chr17" 5185558
"471" "ENSG00000029993.10" "chrX" 150148982
"472" "ENSG00000030066.9" "chr11" 47799639
"473" "ENSG00000030110.8" "chr6" 33540329
"474" "ENSG00000030304.8" "chr9" 113431051
"475" "ENSG00000030419.12" "chr2" 213864429
"476" "ENSG00000030582.12" "chr17" 42422614
"477" "ENSG00000031003.6" "chr5" 137273649
"478" "ENSG00000031081.6" "chr3" 119013220
"479" "ENSG00000031691.6" "chr6" 49431091
"480" "ENSG00000031698.8" "chr1" 109756540
"481" "ENSG00000031823.10" "chr19" 5916150
"482" "ENSG00000032219.14" "chr14" 58765103
"483" "ENSG00000032389.8" "chr2" 3192696
"484" "ENSG00000032444.11" "chr19" 7598890
"485" "ENSG00000032742.13" "chr13" 21140585
"486" "ENSG00000033011.7" "chr16" 5083703
"487" "ENSG00000033030.9" "chr12" 122957417
"488" "ENSG00000033050.3" "chr7" 150904923
"489" "ENSG00000033100.10" "chr7" 150929575
"490" "ENSG00000033122.14" "chr1" 70034081
"491" "ENSG00000033170.12" "chr14" 65877310
"492" "ENSG00000033178.8" "chr4" 68478370
"493" "ENSG00000033327.8" "chr11" 77926343
"494" "ENSG00000033627.10" "chr17" 40610862
"495" "ENSG00000033800.9" "chr15" 68346517
"496" "ENSG00000033867.12" "chr3" 27414214
"497" "ENSG00000034053.10" "chr15" 29129629
"498" "ENSG00000034152.14" "chr17" 21187984
"499" "ENSG00000034239.6" "chr8" 49623348
"500" "ENSG00000034510.4" "chr2" 85132749
"501" "ENSG00000034533.7" "chr3" 130732719
"502" "ENSG00000034677.7" "chr8" 101269288
"503" "ENSG00000034693.10" "chr6" 143771944
"504" "ENSG00000034713.3" "chr16" 75600249
"505" "ENSG00000034971.10" "chr1" 171604557
"506" "ENSG00000035141.3" "chr2" 70523107
"507" "ENSG00000035403.12" "chr10" 75757872
"508" "ENSG00000035499.8" "chr5" 59892739
"509" "ENSG00000035664.7" "chr15" 64199235
"510" "ENSG00000035681.3" "chr8" 59496063
"511" "ENSG00000035687.9" "chr1" 244571796
"512" "ENSG00000035720.3" "chr4" 68424446
"513" "ENSG00000035862.8" "chr17" 76849059
"514" "ENSG00000035928.10" "chr4" 39289076
"515" "ENSG00000036054.8" "chr3" 99979844
"516" "ENSG00000036257.8" "chr2" 225334867
"517" "ENSG00000036448.5" "chr8" 1993155
"518" "ENSG00000036473.6" "chrX" 38211798
"519" "ENSG00000036530.4" "chr14" 100150641
"520" "ENSG00000036549.8" "chr1" 78028101
"521" "ENSG00000036565.10" "chr8" 20002366
"522" "ENSG00000036672.11" "chr11" 119225925
"523" "ENSG00000036828.9" "chr3" 121902530
"524" "ENSG00000037042.8" "chr17" 40811323
"525" "ENSG00000037241.3" "chr5" 172385732
"526" "ENSG00000037474.10" "chr5" 6599352
"527" "ENSG00000037637.6" "chr1" 16573334
"528" "ENSG00000037749.7" "chr5" 153418466
"529" "ENSG00000037757.9" "chr19" 13875346
"530" "ENSG00000037897.12" "chr12" 58162254
"531" "ENSG00000037965.4" "chr12" 54402832
"532" "ENSG00000038002.4" "chr4" 178351924
"533" "ENSG00000038210.9" "chr4" 25162263
"534" "ENSG00000038219.8" "chr4" 13570362
"535" "ENSG00000038274.12" "chr5" 162930120
"536" "ENSG00000038295.3" "chr4" 166794410
"537" "ENSG00000038358.10" "chr16" 67906926
"538" "ENSG00000038382.13" "chr5" 14143811
"539" "ENSG00000038427.11" "chr5" 82767284
"540" "ENSG00000038532.10" "chr16" 11038345
"541" "ENSG00000038945.10" "chr8" 15965387
"542" "ENSG00000039068.14" "chr16" 68771128
"543" "ENSG00000039123.11" "chr5" 54603588
"544" "ENSG00000039139.9" "chr5" 13690440
"545" "ENSG00000039319.12" "chr5" 79703832
"546" "ENSG00000039523.13" "chr16" 67552321
"547" "ENSG00000039537.9" "chr5" 41142336
"548" "ENSG00000039560.9" "chr5" 34656342
"549" "ENSG00000039600.6" "chr5" 157052687
"550" "ENSG00000039650.5" "chr19" 50364461
"551" "ENSG00000039987.2" "chr19" 12862516
"552" "ENSG00000040199.14" "chr16" 71671738
"553" "ENSG00000040275.12" "chr5" 169010638
"554" "ENSG00000040341.13" "chr8" 74332604
"555" "ENSG00000040487.8" "chr1" 19638820
"556" "ENSG00000040531.10" "chr17" 3539762
"557" "ENSG00000040608.9" "chr22" 20228938
"558" "ENSG00000040633.8" "chr17" 7138347
